id,category,value,text
976,toys,67.03,warehouse metrics join aggregate partition
977,toys,12.07,spark reduce data elt row filter spark
978,grocery,40.0,lake filter columnar metrics filter elt map data aggregate warehouse columnar join
979,books,17.69,python scala map plan partition columnar aggregate spark filter aggregate
980,grocery,26.63,aggregate metrics warehouse elt partition
981,books,23.5,elt ui plan aggregate python aggregate partition map ui plan shuffle data
982,books,65.89,python aggregate data join plan plan shuffle
983,electronics,34.26,shuffle aggregate filter python shuffle columnar filter
984,electronics,26.51,shuffle metrics aggregate data plan warehouse columnar scala etl columnar shuffle filter
985,toys,75.81,python filter spark scala columnar scala shuffle join etl metrics metrics plan
986,toys,8.79,shuffle data python lake ui row columnar columnar row partition
987,electronics,82.37,metrics map scala elt join plan join columnar
988,toys,85.1,join filter elt join warehouse scala join elt lake etl scala
989,grocery,59.04,warehouse warehouse data columnar warehouse join row map data data columnar
990,books,98.83,spark ui python metrics map data python aggregate partition
991,books,89.08,elt metrics metrics scala data lake lake
992,grocery,23.58,reduce lake reduce elt row elt data metrics join join metrics warehouse
993,books,25.81,metrics row data join columnar lake shuffle row
994,grocery,3.26,ui data aggregate plan join row row filter columnar
995,books,14.51,lake scala data spark scala lake partition etl reduce shuffle
996,books,26.96,warehouse elt shuffle warehouse metrics
997,books,59.27,partition row etl shuffle etl
998,grocery,81.41,etl shuffle etl reduce map ui scala filter plan filter filter
999,electronics,35.8,partition shuffle plan reduce metrics partition aggregate columnar warehouse map
1000,books,10.04,lake join partition plan etl metrics reduce row
1001,electronics,14.91,plan reduce etl lake row row map columnar spark warehouse shuffle aggregate
1002,electronics,55.5,reduce aggregate map lake lake scala columnar
1003,electronics,13.21,data columnar warehouse plan python python data
1004,toys,5.28,ui warehouse scala plan shuffle reduce shuffle reduce metrics shuffle python lake
1005,grocery,47.79,ui warehouse scala python warehouse aggregate elt
1006,electronics,56.14,reduce join partition ui shuffle ui ui
1007,toys,53.9,python metrics warehouse aggregate ui shuffle etl metrics spark
1008,books,3.97,reduce filter elt partition join join data python join row
1009,books,60.39,row partition metrics etl columnar scala row etl shuffle reduce
1010,toys,7.73,warehouse data reduce join plan plan join row partition reduce columnar
1011,electronics,11.66,reduce python elt row metrics filter etl shuffle columnar plan row filter
1012,electronics,10.06,filter lake spark join aggregate partition metrics
1013,toys,12.63,columnar columnar lake join row partition metrics map partition etl filter
1014,toys,88.16,warehouse data aggregate python ui spark spark
1015,electronics,1.85,plan ui metrics aggregate ui
1016,books,20.23,lake join spark row lake etl metrics lake metrics spark
1017,toys,36.63,data warehouse spark plan partition reduce reduce ui partition plan
1018,books,50.43,spark shuffle spark data aggregate etl scala etl
1019,toys,21.4,map join partition aggregate columnar aggregate row etl etl warehouse data elt
1020,electronics,79.2,python etl reduce metrics plan warehouse partition shuffle join etl etl filter
1021,grocery,19.05,plan elt elt plan lake plan spark plan data
1022,toys,77.56,etl elt data python row
1023,books,78.54,columnar map aggregate scala reduce
1024,grocery,81.83,data join join join ui join metrics
1025,toys,75.72,lake map warehouse warehouse spark spark
1026,grocery,13.91,partition metrics reduce plan scala join lake aggregate row python row
1027,books,80.7,lake elt etl plan python warehouse map ui
1028,electronics,65.99,plan spark etl metrics partition data data map filter partition
1029,electronics,53.83,plan shuffle data shuffle lake row python lake partition partition
1030,grocery,35.25,warehouse ui join scala partition filter metrics map ui spark row
1031,electronics,42.82,plan data elt etl data map
1032,grocery,63.69,plan join python plan etl etl lake row filter
1033,electronics,73.62,elt plan map filter lake lake shuffle lake etl python
1034,grocery,28.73,shuffle elt aggregate columnar plan filter columnar columnar warehouse
1035,grocery,1.38,scala join shuffle shuffle row columnar partition metrics shuffle spark map spark
1036,books,87.68,columnar shuffle partition scala shuffle reduce reduce map join python filter
1037,toys,63.77,partition ui metrics ui data reduce
1038,electronics,93.07,warehouse data plan metrics warehouse
1039,books,89.03,lake data partition metrics etl row lake
1040,electronics,66.64,map columnar map lake spark elt map map elt
1041,grocery,97.88,filter ui warehouse shuffle lake aggregate spark elt
1042,books,92.45,filter scala scala filter filter aggregate ui filter row
1043,toys,28.95,ui filter filter partition partition warehouse row row reduce spark
1044,electronics,8.55,warehouse partition metrics scala elt ui reduce data spark scala map filter
1045,toys,2.31,python row join reduce filter filter elt scala ui
1046,books,32.79,python metrics ui plan warehouse columnar row warehouse etl spark filter
1047,electronics,40.18,aggregate reduce data aggregate plan row
1048,books,97.64,plan map spark data plan
1049,books,69.06,join lake metrics spark reduce etl
1050,toys,27.86,data reduce aggregate etl lake reduce shuffle
1051,toys,15.29,python row python map partition plan
1052,toys,80.37,partition filter ui elt columnar etl partition data
1053,toys,85.89,plan etl python spark ui row aggregate shuffle lake row partition
1054,books,58.8,elt lake aggregate aggregate spark metrics warehouse reduce metrics ui
1055,electronics,76.61,data ui partition etl etl partition elt columnar row aggregate join aggregate
1056,grocery,68.17,filter scala etl data warehouse python ui map ui filter join join
1057,books,11.08,map partition scala scala etl
1058,grocery,35.47,columnar shuffle python row elt lake shuffle scala shuffle data
1059,toys,72.6,reduce map scala filter map
1060,books,87.51,data plan spark shuffle shuffle data
1061,electronics,87.92,etl metrics python shuffle ui metrics
1062,toys,25.7,python etl shuffle aggregate filter
1063,grocery,61.56,columnar ui row spark reduce
1064,toys,5.87,spark scala elt reduce reduce lake lake metrics row aggregate spark row
1065,toys,37.45,row partition row scala ui partition metrics python data lake
1066,electronics,34.6,shuffle metrics warehouse filter data
1067,toys,0.15,shuffle scala spark columnar warehouse
1068,toys,28.47,reduce shuffle scala columnar map
1069,electronics,87.04,map etl scala etl python partition shuffle columnar
1070,electronics,35.88,shuffle join scala partition spark spark
1071,grocery,29.59,ui ui spark partition data elt scala shuffle reduce
1072,electronics,80.46,spark columnar metrics python shuffle partition plan reduce reduce
1073,toys,35.19,map partition plan etl etl etl etl row elt aggregate map partition
1074,grocery,18.7,row warehouse ui columnar columnar elt lake
1075,electronics,38.09,data warehouse aggregate scala join
1076,books,91.2,spark columnar scala partition join shuffle spark columnar
1077,toys,95.97,spark ui ui map etl row
1078,toys,46.38,row row etl spark columnar
1079,grocery,37.48,aggregate elt data warehouse data metrics ui
1080,books,9.38,etl partition shuffle filter map etl metrics reduce etl
1081,grocery,38.43,map metrics spark scala aggregate
1082,grocery,89.25,ui filter filter aggregate warehouse metrics columnar
1083,grocery,33.6,spark row columnar filter filter data ui shuffle map plan filter spark
1084,grocery,77.48,spark columnar warehouse row etl metrics filter
1085,toys,71.62,join metrics elt lake shuffle reduce data elt spark
1086,books,2.66,columnar partition partition columnar reduce join reduce filter lake shuffle aggregate
1087,toys,78.0,ui python warehouse elt join data plan columnar warehouse python shuffle plan
1088,toys,54.95,lake etl shuffle shuffle lake filter elt shuffle filter scala metrics columnar
1089,books,76.54,filter spark scala scala map partition metrics lake
1090,toys,67.12,ui shuffle row lake partition reduce data map join
1091,toys,34.64,row map lake metrics lake join
1092,books,77.78,shuffle scala reduce reduce filter shuffle spark row etl
1093,electronics,45.75,ui lake partition columnar shuffle spark shuffle spark scala
1094,grocery,28.46,warehouse shuffle metrics map scala shuffle reduce scala data scala map join
1095,toys,44.07,join filter elt filter reduce data map warehouse partition spark scala aggregate
1096,books,97.18,map join row elt row elt columnar ui
1097,electronics,61.66,scala warehouse join shuffle lake aggregate metrics spark python
1098,grocery,45.69,elt etl row filter shuffle metrics shuffle scala aggregate warehouse etl
1099,grocery,44.56,elt map data scala python plan scala join ui partition columnar elt
1100,toys,21.1,warehouse scala data ui filter spark python lake data shuffle join map
1101,grocery,5.82,partition warehouse data spark reduce ui aggregate metrics python lake python shuffle
1102,toys,89.28,metrics lake data ui map warehouse row reduce spark reduce aggregate metrics
1103,toys,13.39,partition scala ui filter spark reduce data
1104,grocery,37.75,reduce lake data etl shuffle lake map scala aggregate columnar filter
1105,grocery,64.41,partition elt lake aggregate elt data spark etl lake scala warehouse spark
1106,electronics,30.76,spark python join ui lake lake plan
1107,grocery,74.48,row filter partition data elt row warehouse row
1108,electronics,41.22,etl columnar lake map warehouse lake etl filter
1109,books,29.07,ui elt data warehouse columnar
1110,books,19.37,join data spark scala partition plan partition spark reduce join scala spark
1111,grocery,78.84,partition python map partition python elt scala
1112,books,72.37,map ui columnar ui shuffle reduce lake etl metrics scala lake shuffle
1113,electronics,94.56,elt join warehouse data columnar data shuffle
1114,toys,69.57,shuffle partition row scala data filter ui ui reduce
1115,grocery,23.11,columnar etl filter filter plan spark lake row plan etl
1116,grocery,63.12,map elt plan join elt
1117,grocery,77.89,spark data plan spark shuffle filter metrics
1118,grocery,84.33,map elt shuffle lake etl lake partition
1119,toys,58.84,spark warehouse join elt elt warehouse etl python row partition
1120,books,59.9,columnar warehouse data python python
1121,grocery,27.22,shuffle partition metrics python elt spark aggregate shuffle spark ui
1122,grocery,38.5,data lake aggregate warehouse elt partition reduce aggregate lake etl
1123,grocery,58.02,scala join plan plan aggregate python metrics reduce map
1124,toys,96.71,aggregate elt join data elt partition python map elt aggregate elt
1125,toys,62.71,etl aggregate filter python ui join metrics columnar join join elt aggregate
1126,books,77.91,row elt ui lake filter columnar lake lake filter data spark
1127,toys,45.71,warehouse warehouse warehouse data metrics reduce
1128,toys,66.44,partition plan spark ui etl elt ui scala python elt row
1129,grocery,61.62,metrics scala partition row reduce python plan
1130,toys,88.58,etl lake partition columnar ui etl elt
1131,books,79.26,ui python filter lake reduce filter reduce filter
1132,grocery,60.55,plan aggregate map elt shuffle plan ui spark map partition shuffle
1133,books,16.29,map partition warehouse plan map map scala reduce warehouse map
1134,books,47.03,columnar row columnar shuffle metrics columnar ui
1135,electronics,2.46,data row row columnar aggregate shuffle
1136,grocery,76.87,ui etl plan spark join etl aggregate aggregate shuffle plan
1137,grocery,82.43,etl etl ui elt metrics columnar reduce map metrics shuffle elt
1138,toys,46.6,lake lake row partition aggregate spark
1139,toys,51.54,reduce etl columnar lake filter columnar scala
1140,grocery,84.79,plan lake plan map python warehouse plan
1141,toys,36.82,row scala filter ui map etl elt row etl elt data shuffle
1142,toys,4.58,data join reduce map aggregate
1143,toys,71.47,partition filter columnar lake columnar join join python scala
1144,toys,46.86,shuffle spark ui aggregate filter columnar spark columnar
1145,toys,67.13,metrics filter metrics warehouse spark metrics join
1146,toys,25.49,row spark metrics aggregate scala metrics aggregate map
1147,toys,28.61,plan lake reduce ui ui shuffle lake join columnar elt metrics elt
1148,electronics,10.45,data data lake plan plan scala spark map aggregate plan
1149,books,38.17,map elt shuffle aggregate map lake etl warehouse
1150,toys,21.83,partition warehouse map etl aggregate columnar partition metrics map metrics
1151,grocery,55.2,row row ui scala filter etl lake lake
1152,electronics,91.49,aggregate columnar lake map lake map
1153,books,46.64,spark elt aggregate python map row
1154,electronics,51.28,plan partition lake partition row ui partition row scala ui join metrics
1155,books,11.34,row filter filter scala join warehouse data columnar python warehouse spark
1156,electronics,19.44,metrics etl elt warehouse shuffle row columnar aggregate warehouse aggregate lake
1157,grocery,19.75,etl data data spark scala partition ui
1158,books,34.18,warehouse partition row shuffle row shuffle etl scala lake python
1159,grocery,54.97,warehouse warehouse row reduce metrics metrics row join metrics join
1160,electronics,3.69,metrics row etl spark aggregate filter warehouse aggregate map metrics
1161,grocery,80.65,filter ui reduce ui filter
1162,electronics,98.68,elt row warehouse plan aggregate elt python aggregate scala partition columnar aggregate
1163,books,71.0,plan partition columnar etl map etl row reduce map row
1164,electronics,60.21,row lake reduce reduce map lake ui metrics join
1165,grocery,15.28,data columnar warehouse data reduce metrics etl
1166,books,98.46,data lake map join python ui join row metrics metrics
1167,grocery,16.67,aggregate columnar map join scala data lake reduce etl
1168,books,6.62,etl ui spark shuffle plan
1169,toys,53.67,scala data map map warehouse reduce elt
1170,books,92.85,shuffle reduce plan scala ui reduce lake join map aggregate aggregate warehouse
1171,toys,87.65,filter metrics elt lake spark shuffle partition
1172,grocery,67.49,plan partition aggregate plan warehouse etl lake elt ui python
1173,toys,95.56,aggregate filter ui warehouse partition metrics row ui etl scala filter lake
1174,toys,83.67,metrics partition ui scala spark row elt plan columnar map data
1175,grocery,20.41,data warehouse scala shuffle columnar ui etl ui partition etl data aggregate
1176,toys,50.08,scala spark plan ui row reduce map
1177,toys,55.04,filter columnar etl warehouse ui plan python columnar row scala
1178,toys,2.91,reduce elt ui partition scala join warehouse scala etl scala data
1179,grocery,41.15,shuffle python lake ui map filter warehouse partition metrics spark
1180,electronics,10.23,metrics reduce filter row columnar data python scala shuffle
1181,grocery,21.64,filter elt map partition ui warehouse ui reduce columnar map columnar
1182,toys,85.63,lake columnar columnar reduce warehouse etl spark columnar map
1183,grocery,81.83,aggregate warehouse python lake elt plan join data metrics
1184,grocery,61.9,join scala scala shuffle partition shuffle columnar row etl
1185,books,78.76,warehouse reduce plan columnar shuffle map reduce filter data
1186,books,76.6,python filter columnar columnar map
1187,electronics,91.71,data data data scala columnar partition filter etl python join scala
1188,electronics,33.91,elt partition python columnar map scala aggregate
1189,books,15.26,join shuffle reduce python spark reduce columnar scala scala scala shuffle columnar
1190,books,59.88,etl spark filter data warehouse map plan reduce
1191,toys,0.56,spark aggregate lake aggregate data warehouse metrics join etl etl python
1192,grocery,68.58,row warehouse data aggregate etl filter elt
1193,toys,52.23,plan warehouse lake data etl python
1194,electronics,44.75,warehouse columnar partition row aggregate scala spark metrics filter partition join
1195,toys,22.8,columnar aggregate reduce join ui
1196,grocery,63.26,join data data filter plan map shuffle filter
1197,toys,96.91,elt aggregate ui aggregate metrics aggregate warehouse
1198,books,17.18,etl aggregate python columnar map
1199,electronics,42.46,data etl columnar partition partition plan
1200,books,24.97,partition etl plan ui elt columnar data elt spark plan row join
1201,toys,84.27,reduce warehouse ui shuffle spark map lake join scala map elt join
1202,electronics,4.03,metrics columnar elt columnar shuffle shuffle metrics warehouse map
1203,toys,70.55,spark scala shuffle join row ui reduce
1204,books,21.43,metrics row filter lake data aggregate elt
1205,electronics,37.09,metrics shuffle reduce partition metrics python scala
1206,books,80.27,ui columnar partition scala join partition row
1207,electronics,8.94,aggregate elt reduce scala filter
1208,toys,44.93,columnar columnar map ui metrics reduce row warehouse partition etl
1209,toys,88.27,reduce lake columnar filter warehouse join lake
1210,grocery,37.11,join data shuffle reduce warehouse python elt partition
1211,electronics,96.42,join metrics row python plan aggregate data columnar metrics filter
1212,toys,43.29,python python warehouse etl aggregate
1213,electronics,35.26,partition columnar warehouse join reduce lake map columnar etl
1214,books,74.47,partition partition etl elt filter data partition partition data
1215,toys,72.97,columnar etl row map metrics python warehouse
1216,books,10.2,data columnar python metrics etl metrics
1217,grocery,11.86,python etl python python elt lake scala
1218,books,70.87,shuffle columnar columnar lake scala lake join scala row
1219,grocery,37.52,columnar lake join elt ui elt ui plan scala row elt
1220,books,39.22,etl spark row shuffle reduce spark lake lake shuffle spark spark partition
1221,books,69.51,warehouse map reduce lake scala elt
1222,grocery,72.9,etl scala spark filter filter metrics plan row shuffle
1223,electronics,24.84,spark python reduce data reduce
1224,books,96.97,shuffle aggregate shuffle aggregate python columnar columnar python partition
1225,grocery,14.05,lake aggregate spark ui columnar elt map shuffle reduce python spark
1226,toys,25.54,aggregate partition aggregate elt join scala row metrics etl
1227,toys,14.23,join warehouse map plan aggregate map
1228,grocery,13.42,ui map lake filter spark partition map
1229,toys,95.82,lake etl aggregate filter partition filter lake elt ui reduce aggregate
1230,toys,30.51,python filter python reduce plan spark row python row map
1231,electronics,37.02,lake partition scala columnar spark data aggregate join ui filter
1232,books,4.23,map reduce reduce data plan lake map warehouse ui metrics spark metrics
1233,books,89.91,plan ui plan reduce data plan metrics python map filter etl
1234,grocery,41.1,plan partition ui metrics columnar partition
1235,toys,51.25,elt plan filter partition filter shuffle python metrics join
1236,electronics,24.78,elt python elt partition join plan
1237,grocery,5.55,columnar aggregate ui row elt warehouse shuffle row etl partition python
1238,toys,55.5,map aggregate ui shuffle reduce python aggregate
1239,electronics,85.17,elt join spark columnar map elt metrics partition
1240,grocery,20.45,columnar map scala join plan aggregate map
1241,books,77.25,python map python partition metrics
1242,books,76.69,aggregate data data columnar ui spark
1243,books,36.05,metrics row scala spark metrics warehouse etl python row row metrics columnar
1244,toys,38.69,aggregate aggregate ui metrics columnar spark
1245,toys,15.98,elt warehouse warehouse plan partition
1246,toys,88.04,plan elt data row filter filter
1247,grocery,1.79,ui reduce python aggregate reduce etl etl lake ui filter
1248,grocery,83.83,columnar map aggregate lake partition partition python lake map scala reduce row
1249,electronics,25.22,reduce etl plan aggregate scala elt
1250,toys,24.32,partition spark warehouse python reduce metrics spark python ui warehouse map
1251,books,82.92,etl shuffle filter join shuffle partition warehouse
1252,books,12.25,partition lake join spark map scala etl python etl
1253,electronics,86.44,shuffle map shuffle lake shuffle row
1254,toys,74.44,warehouse shuffle lake python ui map scala shuffle row aggregate warehouse
1255,books,32.72,spark plan spark columnar scala ui
1256,grocery,80.3,filter join row lake join ui data join ui scala python warehouse
1257,grocery,81.35,plan aggregate ui aggregate shuffle elt map etl
1258,grocery,41.68,lake row spark plan map aggregate python filter row spark
1259,toys,69.42,aggregate lake ui row map
1260,grocery,87.63,map ui metrics warehouse columnar etl join metrics
1261,electronics,56.98,filter scala spark warehouse reduce
1262,toys,94.69,partition aggregate data scala spark lake join join join python python
1263,grocery,70.79,ui elt reduce lake filter columnar plan columnar map elt
1264,books,80.09,partition etl filter reduce lake spark
1265,grocery,69.49,plan map scala data map partition elt warehouse warehouse etl
1266,electronics,2.18,data join shuffle lake lake etl partition reduce
1267,toys,29.03,row plan data columnar aggregate map etl plan python
1268,toys,23.42,elt lake shuffle columnar metrics reduce ui spark metrics warehouse row
1269,toys,37.8,spark elt ui columnar filter map
1270,books,16.88,lake etl aggregate aggregate metrics ui
1271,electronics,38.19,columnar shuffle elt shuffle scala reduce shuffle reduce python plan warehouse
1272,electronics,54.8,reduce reduce metrics filter reduce partition
1273,toys,90.57,etl data partition join map columnar ui
1274,toys,25.26,shuffle data scala columnar ui partition
1275,toys,79.74,warehouse lake ui scala row scala elt spark etl join warehouse lake
1276,toys,21.28,map scala row python spark filter scala
1277,books,46.87,row warehouse data aggregate metrics warehouse scala filter scala etl join
1278,books,23.54,aggregate map metrics filter plan lake partition columnar partition join
1279,grocery,59.71,plan row plan lake columnar
1280,electronics,81.76,lake partition filter python python data warehouse etl
1281,books,99.98,ui etl plan ui python metrics scala scala etl spark
1282,grocery,96.89,metrics reduce map map columnar shuffle filter
1283,books,89.56,metrics metrics aggregate scala map aggregate reduce warehouse scala lake
1284,books,33.48,shuffle etl plan columnar scala join aggregate spark
1285,books,41.7,shuffle reduce aggregate partition python aggregate spark python metrics
1286,electronics,96.25,filter columnar spark scala python aggregate python filter warehouse row shuffle
1287,books,34.07,columnar shuffle python data metrics python row warehouse scala aggregate reduce
1288,electronics,59.48,metrics join filter shuffle spark scala
1289,grocery,1.18,plan row lake reduce warehouse data spark shuffle
1290,toys,75.07,join spark warehouse warehouse lake etl shuffle columnar
1291,books,10.82,metrics scala warehouse metrics row shuffle join lake plan columnar data
1292,electronics,97.99,plan aggregate data ui row columnar ui filter partition warehouse
1293,books,51.63,partition lake partition lake scala lake metrics warehouse
1294,toys,61.3,plan etl partition ui reduce etl
1295,books,30.89,join etl ui etl data columnar reduce row filter
1296,grocery,5.26,columnar ui reduce reduce reduce ui lake
1297,books,31.52,columnar plan elt shuffle scala ui
1298,books,27.18,etl elt columnar data ui data
1299,toys,21.24,plan partition shuffle plan plan elt shuffle python elt metrics
1300,grocery,98.66,python ui spark map partition
1301,electronics,35.29,map filter filter scala reduce shuffle filter scala map data
1302,electronics,87.03,map reduce partition metrics aggregate
1303,grocery,67.06,join elt shuffle join join ui elt metrics filter lake etl warehouse
1304,electronics,3.96,partition ui warehouse aggregate metrics
1305,books,62.39,aggregate elt metrics python warehouse shuffle row ui etl plan ui
1306,grocery,4.25,lake shuffle partition row reduce python aggregate shuffle columnar
1307,electronics,5.45,reduce data columnar data lake map aggregate row lake reduce join
1308,books,31.9,python row lake metrics filter elt metrics python map warehouse warehouse
1309,electronics,31.73,elt metrics reduce join warehouse etl spark scala shuffle etl warehouse
1310,grocery,11.06,lake map lake plan map warehouse etl warehouse ui
1311,books,39.98,python reduce partition ui scala partition shuffle scala map map warehouse aggregate
1312,toys,94.36,elt lake filter join shuffle lake
1313,books,6.12,filter elt filter aggregate reduce warehouse
1314,electronics,0.32,columnar plan metrics lake plan
1315,toys,52.95,warehouse spark ui lake plan shuffle filter lake filter scala reduce shuffle
1316,electronics,12.14,partition metrics join data data plan map metrics join data elt ui
1317,toys,58.92,data filter map columnar ui reduce columnar etl
1318,grocery,76.64,plan metrics scala reduce reduce python columnar partition join filter warehouse
1319,grocery,13.35,map ui spark reduce reduce lake python scala etl metrics plan
1320,books,3.84,filter filter lake plan python aggregate plan reduce python row etl
1321,grocery,3.62,python aggregate ui reduce partition python warehouse spark scala ui
1322,books,60.52,etl lake partition ui columnar lake partition data python shuffle map
1323,electronics,99.25,ui join scala filter row shuffle shuffle row partition partition filter
1324,grocery,24.44,python etl ui elt ui scala aggregate map map data filter
1325,books,74.1,shuffle columnar metrics join filter warehouse reduce filter join row plan
1326,grocery,93.8,reduce elt filter aggregate row filter etl python scala columnar columnar spark
1327,books,14.6,spark warehouse elt map aggregate row join
1328,electronics,87.07,row shuffle filter aggregate spark spark partition elt ui
1329,grocery,80.41,ui aggregate filter reduce scala reduce map warehouse scala
1330,electronics,79.33,aggregate lake plan partition data metrics elt metrics join map data shuffle
1331,toys,0.79,python python plan columnar map python join
1332,toys,3.83,data filter ui columnar reduce spark reduce
1333,electronics,72.21,scala scala elt lake aggregate data map plan lake map columnar
1334,toys,13.7,row spark lake join partition scala partition filter ui map plan
1335,grocery,35.13,filter spark metrics python columnar aggregate plan elt join map elt spark
1336,toys,89.49,shuffle python plan partition scala plan warehouse spark python shuffle
1337,electronics,54.27,scala shuffle elt map partition python data shuffle row lake map
1338,electronics,8.89,python scala plan metrics map map columnar join columnar etl data row
1339,grocery,55.67,row reduce spark filter spark warehouse
1340,books,91.77,data data join reduce warehouse plan etl map
1341,grocery,92.17,elt map plan lake aggregate data metrics filter lake data join
1342,electronics,55.71,lake metrics python lake reduce columnar aggregate partition lake reduce map
1343,books,31.86,etl shuffle partition reduce map
1344,grocery,75.77,lake metrics spark ui spark data
1345,toys,76.02,shuffle join map elt metrics columnar
1346,electronics,92.85,python map filter filter row lake warehouse row metrics join row map
1347,books,89.05,etl shuffle elt aggregate lake aggregate scala
1348,toys,78.62,join spark plan data shuffle ui partition
1349,books,16.6,join plan aggregate lake ui map elt warehouse reduce
1350,electronics,54.94,ui aggregate warehouse metrics partition elt scala scala partition plan partition aggregate
1351,grocery,1.47,elt filter aggregate columnar shuffle plan ui
1352,toys,84.01,etl data reduce metrics columnar spark spark row columnar
1353,grocery,76.83,shuffle filter shuffle shuffle shuffle lake lake
1354,electronics,49.11,partition filter warehouse ui elt elt reduce metrics aggregate map plan row
1355,grocery,5.05,elt ui row plan filter reduce data
1356,grocery,98.93,partition aggregate shuffle columnar aggregate spark ui map map lake data partition
1357,books,20.88,ui filter data etl metrics
1358,grocery,7.94,metrics partition scala python reduce plan columnar
1359,books,18.66,warehouse filter reduce lake etl
1360,grocery,66.08,shuffle spark scala map lake filter filter columnar lake
1361,grocery,27.06,data ui lake reduce spark plan python ui python aggregate columnar
1362,grocery,55.09,etl ui map lake metrics scala elt row
1363,toys,46.63,lake filter warehouse reduce join
1364,books,89.6,columnar lake ui join data etl row python reduce
1365,books,94.07,lake join row reduce lake row map partition partition plan plan
1366,toys,24.0,elt elt data scala python row partition
1367,toys,30.81,elt row scala reduce reduce row elt etl
1368,electronics,73.82,spark partition columnar lake columnar elt elt aggregate lake elt shuffle
1369,electronics,33.35,aggregate map ui aggregate python elt columnar filter
1370,grocery,36.67,row join python plan columnar lake filter filter scala warehouse data ui
1371,toys,10.42,lake ui filter reduce filter
1372,books,74.29,aggregate python warehouse map warehouse aggregate reduce warehouse
1373,grocery,20.59,python columnar warehouse reduce partition filter lake warehouse columnar elt
1374,grocery,0.63,shuffle etl spark aggregate spark elt
1375,toys,68.61,reduce filter scala plan spark aggregate lake shuffle lake shuffle partition
1376,electronics,72.14,join metrics spark partition ui plan warehouse warehouse
1377,electronics,42.74,reduce partition metrics columnar aggregate reduce data
1378,electronics,37.64,elt metrics ui columnar metrics lake join filter
1379,electronics,26.8,filter scala lake aggregate scala map elt warehouse columnar
1380,books,56.72,filter reduce metrics python data elt
1381,electronics,8.98,join scala filter elt scala partition columnar
1382,grocery,73.86,spark row scala shuffle reduce row partition join
1383,electronics,0.39,elt partition map python columnar ui elt
1384,books,8.71,metrics columnar metrics lake join elt etl reduce ui partition
1385,books,42.5,scala lake aggregate metrics join map
1386,grocery,19.38,elt ui spark metrics metrics
1387,toys,82.49,lake data partition spark ui python filter
1388,toys,12.56,partition plan metrics shuffle reduce filter
1389,toys,70.56,ui ui etl plan aggregate lake row filter lake etl
1390,books,97.83,ui partition reduce aggregate join partition partition columnar elt join ui data
1391,electronics,26.6,data lake columnar warehouse join etl warehouse metrics plan
1392,toys,81.19,data map aggregate ui columnar ui warehouse ui join ui
1393,books,36.17,lake partition elt shuffle elt scala filter data lake scala filter partition
1394,grocery,67.64,warehouse etl etl row warehouse map elt ui shuffle row elt
1395,electronics,23.67,map python join lake elt partition
1396,electronics,52.05,join shuffle spark row scala python
1397,toys,64.26,filter partition spark plan data row elt columnar join
1398,books,26.91,partition metrics spark partition ui elt reduce ui
1399,grocery,78.7,shuffle etl filter data warehouse
1400,grocery,20.36,aggregate metrics python columnar columnar warehouse partition map
1401,electronics,10.47,partition aggregate spark filter metrics python row metrics spark aggregate
1402,electronics,47.77,reduce metrics lake etl join join scala spark spark scala
1403,grocery,1.03,etl spark row ui aggregate metrics map join elt aggregate plan
1404,toys,79.62,row plan reduce scala partition
1405,toys,81.34,join partition map warehouse lake map row filter warehouse metrics
1406,toys,44.58,reduce row row plan aggregate plan
1407,toys,17.2,aggregate lake data reduce columnar join metrics warehouse columnar
1408,grocery,93.77,scala warehouse lake map shuffle warehouse aggregate
1409,toys,70.82,reduce aggregate partition lake lake
1410,grocery,69.85,map map warehouse lake reduce
1411,books,34.58,map spark columnar map elt python metrics ui
1412,toys,79.4,aggregate ui etl scala python map join spark plan metrics
1413,grocery,60.27,warehouse plan metrics warehouse elt row warehouse shuffle row filter
1414,grocery,64.0,aggregate shuffle plan ui spark
1415,grocery,53.56,partition shuffle join join spark metrics lake
1416,grocery,58.22,data scala filter scala data join spark join scala join plan
1417,grocery,96.41,filter filter aggregate reduce data metrics ui data spark row lake
1418,toys,69.98,reduce plan python metrics partition scala spark python
1419,books,36.61,aggregate columnar partition data spark scala warehouse lake reduce
1420,toys,57.84,join lake spark join spark
1421,grocery,71.29,scala ui metrics lake plan metrics
1422,books,83.95,filter partition aggregate lake reduce etl row shuffle etl warehouse
1423,electronics,99.25,partition filter etl join python
1424,toys,4.1,warehouse reduce elt partition lake scala join etl map shuffle
1425,books,49.51,data filter partition lake metrics spark
1426,electronics,64.35,filter etl partition scala join data scala spark row
1427,electronics,22.53,join plan filter python lake
1428,books,79.98,warehouse warehouse elt metrics lake spark lake map python
1429,electronics,51.85,ui shuffle metrics elt warehouse etl spark
1430,books,26.96,map join etl warehouse scala plan columnar warehouse elt scala reduce
1431,grocery,68.58,elt lake partition filter shuffle shuffle ui shuffle filter etl
1432,toys,44.57,partition data lake join metrics elt spark join shuffle etl warehouse spark
1433,electronics,13.38,join spark lake map filter scala join shuffle filter metrics
1434,electronics,58.68,metrics etl spark columnar columnar spark filter columnar ui aggregate
1435,books,49.43,shuffle map row columnar plan columnar metrics reduce
1436,books,39.34,warehouse ui ui data data join map columnar spark
